,operator,state,market,start,end,...1,merging_firm,note,dummy_merged_by_data_period1990
272,PNSC,noncartel,Transpacific,1983,1990,273,NA,"Ongoing, Pakistan National Shipping Corporation",NA
273,Zim,noncartel,Transpacific,1983,1990,274,NA,Ongoing,NA
274,Kyowa,noncartel,Transpacific,1984,1990,275,NA,Ongoing,NA
275,GBCS,noncartel,Transpacific,1985,1990,276,NA,"Ongoing, Global Bulk Containers",NA
276,Westwood,noncartel,Transpacific,1986,1990,277,NA,Ongoing,NA
277,Nedlloyd,noncartel,Transpacific,1989,1990,278,Maersk,Subsidiary of Maersk since 2005 (Merged as P&O Nedlloyd since 1997),NA
278,Farrell Lines,noncartel_only_in_CIY,Transpacific,1965,1977,279,Maersk,Subsidiary of Maersk since 2005 (Merged by P&O Nedlloyd in 2000),NA
279,Lykes Lines,noncartel_only_in_CIY,Transpacific,1965,1978,280,Hapag-Lloyd,Subsidiary of Hapag-Lloyd since 2005 (Merged by CP Ships in 1997),NA
280,Galleon,noncartel_only_in_CIY,Transpacific,1965,1990,281,NA,NA,NA
281,Maersk,noncartel_only_in_CIY,Transpacific,1967,1974,282,NA,Ongoing,NA
282,Hoegh Lines,noncartel_only_in_CIY,Transpacific,1967,1979,283,NA,Ongoing,NA
283,Yangming,noncartel_only_in_CIY,Transpacific,1969,1977,284,NA,Ongoing,NA
284,Nedlloyd,noncartel_only_in_CIY,Transpacific,1970,1988,285,Maersk,Subsidiary of Maersk since 2005 (Merged as P&O Nedlloyd since 1997),NA
285,American Export Lines,noncartel_only_in_CIY,Transpacific,1971,1972,286,NA,Bankrupt in 1978,NA
286,OOCL,noncartel_only_in_CIY,Transpacific,1971,1974,287,Cosco,Subsidiary of COSCO since 2018,NA
287,KSC,noncartel_only_in_CIY,Transpacific,1971,1975,288,Hanjin,Merged by Hanjin in 1987,1
288,Hanjin,noncartel_only_in_CIY,Transpacific,1971,1978,289,NA,Bankrupt in 2016,NA
289,Hapag-Lloyd,noncartel_only_in_CIY,Transpacific,1972,1977,290,NA,Ongoing,NA
290,USSR,noncartel_only_in_CIY,Transpacific,1973,1990,291,NA,We may treat as FESCO,NA
291,Cosco,noncartel_only_in_CIY,Transpacific,1974,1979,292,NA,Ongoing,NA
292,Atlanttrafik/Barber Blue Sea,noncartel_only_in_CIY,Transpacific,1974,1990,293,Wilhelmsen Lines A/S,Merged by Wilhelmsen Lines A/S since 1990,1
293,Elma,noncartel_only_in_CIY,Transpacific,1976,1990,294,NA,dismantled in 1996,NA
294,Bank Line,noncartel_only_in_CIY,Transpacific,1977,1990,295,Swire,Subsidiary of Swire since 2003,NA
295,Canisa,noncartel_only_in_CIY,Transpacific,1977,1990,296,NA,NA,NA
296,Ro-Lo Pacific Line,noncartel_only_in_CIY,Transpacific,1977,1990,297,NA,NA,NA
297,Compania Chilena de Navegacion Interoceanica,noncartel_only_in_CIY,Transpacific,1978,1990,298,Maersk,Subsidiary of Maersk since 2017 (Subsidiary of Hamburg Sud since 2015),NA
298,MFECS,noncartel_only_in_CIY,Transpacific,1978,1990,299,NA,A consortium in conference,NA
299,Scindia,noncartel_only_in_CIY,Transpacific,1978,1990,300,NA,"Ongoing, Scindia Steam Navigation Company",NA
300,NLS,noncartel_only_in_CIY,Transpacific,1979,1987,301,NYK,Merged by NYK on 1991,NA
301,CC Line,noncartel_only_in_CIY,Transpacific,1979,1990,302,NA,NA,NA
302,Lloyd Brasileiro,noncartel_only_in_CIY,Transpacific,1979,1990,303,NA,Liquidated in 1998,NA
303,UASC,noncartel_only_in_CIY,Transpacific,1979,1990,304,Hapag-Lloyd,Subsidiary of Hapag-Lloyd since 2017,NA
304,Japanese joint service,noncartel_only_in_CIY,Transpacific,1987,1990,305,NA,A Group in Conference,NA
