seller_operator_age_normalized,seller_cumsum_TEU_normalized,seller_lat,seller_lon,buyer_operator_age_normalized,buyer_cumsum_TEU_normalized,buyer_lat,buyer_lon
0.1111111111111111,0.010127051580124894,52.35,4.9,0.1111111111111111,0.008853304780142544,48.86666,2.333333
0.5555555555555556,0.0004980989623210471,-33.88334,151.1667,0.1111111111111111,0.025862271586161643,25.08333,121.5333
0.7222222222222222,0.045271511807042836,24.46667,54.41667,0.1111111111111111,0.0013948852361418173,-33.5,-70.66666
0.7777777777777778,0.17230765742857204,35.66667,139.75,0.1111111111111111,0.03690168804153252,55.66667,12.58333
0.1111111111111111,0.001753545308625063,35.9,14.53333,0.16666666666666666,0.015283184390375864,48.86666,2.333333
0.1111111111111111,0.00042185507744246054,25.08333,121.5333,0.2222222222222222,0.1113816845729321,55.66667,12.58333
0.2222222222222222,0.0004302447867403142,-25.73,28.22,0.3888888888888889,0.0005240846458905442,22.26667,114.15
0.7222222222222222,0.00010490338801438444,1.283333,103.85,0.5555555555555556,0.0008910543731936107,22.26667,114.15
1.0,0.012676850749056941,-33.88334,151.1667,0.6111111111111112,0.47101256170038786,55.66667,12.58333
0.3888888888888889,0.00029434430483156953,39.91667,116.4333,0.6111111111111112,0.05642196382344542,52.533,13.417
0.7777777777777778,0.13018010912642183,35.66667,139.75,0.7222222222222222,0.07281074858814321,52.533,13.417
0.16666666666666666,4.523078008861967e-5,51.5,-0.1666667,0.7222222222222222,0.1521073828993516,48.86666,2.333333
0.6111111111111112,0.00397632193479249,-33.5,-70.66666,0.7777777777777778,0.02051480857341191,1.283333,103.85
0.1111111111111111,0.005418663465512242,41.88334,12.5,0.7777777777777778,0.02051480857341191,1.283333,103.85
1.0,0.030941968380786746,52.533,13.417,0.7777777777777778,0.02051480857341191,1.283333,103.85
1.0,0.21643941762096408,40.75,-74.0,1.0,0.2939452973021577,48.86666,2.333333
0.6111111111111112,0.030240707164113666,-33.5,-70.66666,1.0,0.2939452973021577,48.86666,2.333333
0.7777777777777778,0.16323031218620646,35.66667,139.75,1.0,1.0,55.66667,12.58333
