x1,x2,x3
9.47470622213445,-9.329486035001805,1.0
-3.998977098873233,-4.4520413845559546,1.0
5.699835890729723,-5.694079627770292,1.0
2.266030057142828,-4.968440638272196,1.0
8.241679438481636,-7.973771930954398,1.0
-0.567204340409857,-6.269191683053977,1.0
4.564881991354278,-8.438662290714998,1.0
-2.765216320906248,-9.663123838890558,1.0
3.562117752783022,-9.669489291055491,1.0
-2.241544150055498,-4.004980253744213,1.0
-0.8900049193309271,-3.742906896751835,1.0
4.709949330394465,-6.5372388439057065,1.0
2.4482238189738963,-9.186896664082967,1.0
3.0783257563913793,-9.371846713989282,1.0
-4.547101199526075,-9.466442708803902,1.0
-1.6738269318570342,-1.2736954923915178,1.0
1.5058708267214325,-7.112092542383799,1.0
7.446433609884274,-7.543937456853371,1.0
-0.1741310777589129,-1.1176753442121736,1.0
-5.23310911696708,-9.569293663086214,1.0
-7.4143976779993155,-6.975825402202084,1.0
-2.2267723064767235,-9.496600697216133,1.0
-4.2676369880347345,-9.715938854195898,1.0
-3.289600015242625,-6.493693203507348,1.0
-6.13435463070974,-2.0717834357692078,1.0
-2.7946991235079883,-3.91664199697754,1.0
-9.27049869776426,-7.355847759798113,1.0
8.653353769435896,-8.861691533126333,1.0
-4.662573243818737,-7.850364317446234,1.0
-7.634340600922735,-4.201726055428367,1.0
-2.0470530711143295,-3.8479913475712166,1.0
-7.640863273217478,-1.1957162954909883,1.0
-6.1138628524702,-9.100699595144613,1.0
-1.4203926684352735,-3.921611543187981,1.0
-0.46619538322157794,-0.6871319834062957,1.0
-8.177934186186544,-6.391661062185702,1.0
-4.6336295747921135,-9.974704033708454,1.0
-4.876278496602944,-0.9269880545637608,1.0
-6.8373586463965665,-3.7138534027996495,1.0
-3.699232908798759,-2.9345559341153837,1.0
-4.361880387391142,-6.930947171611148,1.0
-8.487222454046199,-7.296392961174822,1.0
-5.34010391439871,-3.0421519038385085,1.0
-4.457384732652601,-8.057988103030858,1.0
-6.739232441481608,-8.266717253239058,1.0
5.760848171154358,-6.060943446725151,1.0
-2.484862752149385,-1.6682172503041333,1.0
-9.359334902486681,-2.887963459340175,1.0
-0.01562564675104472,-3.266386753169444,1.0
-0.7721363881568237,-8.937394685570343,1.0
1.2293418471264168,-2.1098279873021024,1.0
-4.269671328113843,-7.478273753034548,1.0
-6.881741691279119,-7.4559898434476555,1.0
2.9639691719835355,-9.977144671415788,1.0
3.084362423514097,-2.8018132696999274,1.0
-1.7975939401071908,-9.593137130559962,1.0
-4.422846893685675,-9.861578868369891,1.0
-0.6789142204256132,-5.217092406682465,1.0
4.634016984247641,-5.204812082066936,1.0
-8.263968060758797,-3.292020681230261,1.0
2.2484892318595158,-8.818317156091807,1.0
5.21716567754784,-9.426277167287921,1.0
-8.904415508173747,-3.875972582637494,1.0
-0.8413389206002373,-9.212284891129999,1.0
-8.386639235799247,-7.890833901237194,1.0
-7.232257782861717,-3.6397640247340517,1.0
-3.923943251520355,-1.8698239937425565,1.0
-8.882815474295406,-8.08608406850045,1.0
-3.1733364927362064,-3.7311659510846864,1.0
-3.5196943554249884,-9.176168739771056,1.0
3.284823439704443,-4.453597045978279,1.0
3.43252022016871,-8.965295191709135,1.0
-1.9513707824676256,-4.275926743703749,1.0
-8.209791858489858,-7.0936229756599,1.0
-5.972532849538402,-4.2871277893328745,1.0
-3.470691130926765,-7.873067868980729,1.0
-3.2645930423981664,-9.735388221187367,1.0
-0.20903302949469138,-4.420290800434319,1.0
7.947535968107384,-8.512045695343076,1.0
-3.563669179128338,-2.63921495308319,1.0
-0.7613539628666857,-4.333820358102693,1.0
0.3179717518153602,-6.453342373238682,1.0
2.1384625067502903,-2.9786048258264533,1.0
1.8600197656302768,-8.992276042607799,1.0
-7.217410377463799,-6.998196170551168,1.0
-0.909531944924028,-1.37451964297375,1.0
8.10211482834547,-7.6477444263886305,1.0
-2.1712621169592246,-6.075295610486946,1.0
-6.612445595005637,-6.756689066291367,1.0
0.7843474031773523,-8.97759406692013,1.0
-8.703501442386322,-3.297387191007732,1.0
-9.50328077207678,-9.454319034586197,1.0
2.443794920497503,-4.0253610544124,1.0
8.424278144180345,-9.822252380631564,1.0
-3.724025834294549,-6.428219868504973,1.0
4.663176881462255,-4.680437899053782,1.0
-8.608992479459982,-4.689721202622868,1.0
-6.85841720075818,-4.111896717545323,1.0
-6.121361285141985,-6.400167387641701,1.0
1.1125564023005396,-3.2702201435855063,1.0
