"","year","operator","dw","country_or_market","data_source"
"305",2005,"Samudera",52814,"Pa","HB"
"306",2011,"Sanstar",5690,"Ko","HB"
"307",1967,"ScanDutch",2600,"Asia and Eur","CIY"
"308",1976,"ScanPacific Line",3680,"Transatlantic","CIY"
"309",1978,"Scindia",2590,"Transpacific","CIY"
"310",1965,"Sea-Land",33840,"Transatlantic","CIY"
"311",2005,"Seaboard Marine",84090,"No","HB"
"312",1979,"Seaboard Pacific Line",33670,"Transpacific","CIY"
"313",2005,"SEACON",51545,"Ms","HB"
"314",2013,"SEACON/T.S. Lines",24554,"Sg","HB"
"315",2014,"Sealand Asia",345645,"Ms","HB"
"316",2019,"SEALS",37549,"Gi","HB"
"317",1977,"Seas",6470,"Transatlantic","CIY"
"318",1966,"Seatrain Lines",7000,"Transatlantic","CIY"
"319",1970,"Seaway Express Lines",8820,"Transpacific","CIY"
"320",2005,"Senator",23040,"Ms","HB"
"321",2005,"Shandong Yantai International Marine Shipping Co",269434,"Du","HB"
"322",2005,"Shanghai Ferry",8042,"PRC","HB"
"323",2005,"Shanghai Jin Jiang Shipping",69481,"HK","HB"
"324",2011,"Shanghai Puhai Shipping",28602,"PRC","HB"
"325",2005,"Shinwa",14085,"Pa","HB"
"326",2005,"Shipping Corporation of India",140541,"Ma","HB"
"327",2005,"Shosen Mitsui Kinkai",23944,"Pa","HB"
"328",2005,"SIAM PAETRA INTERNATIONAL CO.,LTD",36273,"Th","HB"
"329",2007,"Simatech",53165,"Sg","HB"
"330",2005,"Sinokor",75394,"Pa","HB"
"331",1977,"Sinotrans",1800,"Asia and Eur","CIY"
"332",2005,"Sinotrans",303180,"An","HB"
"333",2005,"SITC",225152,"Li","HB"
"334",2018,"SM Line",659028,"Pa","HB"
"335",1979,"SMTM",4520,"Asia and Eur","CIY"
"336",2007,"Spliethoff",100848,"Du","HB"
"337",1976,"Splosna Plovba",9300,"Transatlantic","CIY"
"338",2005,"SS-Express",4910,"Pa","HB"
"339",1965,"Star Shipping",10440,"Transatlantic","CIY"
"340",2005,"STX Pan Ocean",52513,"Pa","HB"
"341",1980,"Surinam",1100,"Transatlantic","CIY"
"342",2008,"Suzhou Shimonoseki Ferry",6965,"Pa","HB"
"343",2010,"Swire",334891,"HK","HB"
"344",2005,"T.J. Marine",7001,"-","HB"
"345",2005,"T.S. Lines",121408,"Vt","HB"
"346",2011,"Tai Chong Cheang Steamship",216068,"Gr","HB"
"347",2005,"Tai Young",13792,"Pa","HB"
"348",2012,"TAICANG CONTAINER LINES",33322,"SV","HB"
"349",2005,"Tasman Orient",91064,"Li","HB"
"350",2005,"TBS Pacific Liner",238246,"Li","HB"
"351",1980,"Tecomar",6000,"Transatlantic","CIY"
"352",1978,"TFH Line",7560,"Asia and Eur","CIY"
"353",2010,"Tianjin Jinshen Ferry Co Ltd",3626,"PRC","HB"
"354",2005,"TJS",3482,"My","HB"
"355",1971,"TMM",4550,"Transatlantic","CIY"
"356",2005,"TMSC",48702,"HK","HB"
"357",1985,"Topgallant",24110,"Transatlantic","CIY"
"358",1974,"Trans Freight Lines",5820,"Transatlantic","CIY"
"359",1979,"Transmediterranea",6070,"Transatlantic","CIY"
"360",1979,"Transnave",3020,"Transpacific","CIY"
"361",1981,"Transroll",6000,"Transatlantic","CIY"
"362",1972,"Trasatlantica",3660,"Transatlantic","CIY"
"363",1971,"TRIO",18380,"Asia and Eur","CIY"
"364",2005,"TSK",1142324,"Ja","HB"
"365",1979,"UASC",11600,"Transpacific","CIY"
"366",2005,"UASC",1384529,"UAE","HB"
"367",1969,"Uiterwyck Lines",2160,"Transatlantic","CIY"
"368",1988,"UMAG",5450,"Transatlantic","CIY"
"369",1970,"Unimex/Deppe",3520,"Transatlantic","CIY"
"370",1965,"United States Lines",6960,"Transatlantic","CIY"
"371",2007,"US Lines",124434,"Cp","HB"
"372",1972,"USSR",2980,"Transatlantic","CIY"
"373",2005,"Wallenius Wilhelmsen",486327,"No","HB"
"374",1987,"Wan Hai",6300,"Asia and Eur","CIY"
"375",2005,"Wan Hai",1329260,"Gr","HB"
"376",1980,"WEC",1850,"Transatlantic","CIY"
"377",2005,"Westwind",39087,"Pi","HB"
"378",1986,"Westwood",40580,"Transpacific","CIY"
"379",2005,"Westwood",312617,"No","HB"
"380",1978,"Wilhelmsen Lines A/S",20000,"Asia and Eur","CIY"
"381",2005,"Winland",7436,"-","HB"
"382",2021,"Wuhan New Port Datong International Shipping",19000,"PRC","HB"
"383",2009,"X-Press Feeders",29931,"Li","HB"
"384",1974,"Y-S Line",11980,"Transatlantic","CIY"
"385",2005,"Yang Ming",2200700,"Li","HB"
"386",1969,"Yangming",7320,"Transpacific","CIY"
"387",1967,"Ybarra",7890,"Transatlantic","CIY"
"388",2011,"YSC",115660,"HK","HB"
"389",1970,"Zim",3600,"Transatlantic","CIY"
"390",2005,"Zim",2471073,"Li","HB"
"391",2005,NA,297057,"-","HB"
