"","id","year","ship_name","route_order","port_name","original_port_name"
"1027","10",2014,NA,24,"Korean Ports","Korean Ports"
"1028","1",2005,"GRANDEUR",27,"Koror","Koror(Tue/Wed)"
"1029","13",2017,"Amur",21,"Korsakov","Korsakov"
"1030","1",2005,"Asian Hibiscus",31,"Kosrae","Kosrae"
"1031","1",2005,"KOTA BUANA",23,"Kota Kinabalu","Kota Kinabalu(Tue/Wed)"
"1032","8",2012,NA,22,"Kota Kinabalu, Kuching, Miri, Bintulu, Tanjung Manis","Kota Kinabalu, Kuching, Miri, Bintulu, Tanjung Manis"
"1033","9",2013,NA,22,"Kota Kinabalu, Kuching, Miri, Bintulu, Tanjung Manis, Muara","Kota Kinabalu, Kuching, Miri, Bintulu, Tanjung Manis, Muara"
"1034","12",2016,NA,22,"Kota Kinabalu, Kuching, Muara","Kota Kinabalu, Kuching, Muara"
"1035","15",2019,"A VESSEL",31,"Kribi","(5)Kribi(Thu/Fri)[47]"
"1036","12",2016,"CAPE NEMO",22,"Krishnapatnam","Krishnapatnam(Wed/Thu)"
"1037","1",2005,"BUNGA MAS ENAM",21,"Kuantan","Kuantan(Wed)[0]"
"1038","8",2012,NA,27,"Kuantang","Kuantang(Sat)"
"1039","1",2005,"SELATAN MEGAH",22,"Kuching","Kuching(Wed)"
"1040","2",2006,NA,22,"Kuching, Bintulu, Muara, Kota Kinabalu, Sandakan, Tawau","Kuching, Bintulu, Muara, Kota Kinabalu, Sandakan, Tawau"
"1041","1",2005,NA,22,"Kuching, Labuan, Muara, Kota Kinabalu, Sandakan, Tawau","Kuching, Labuan, Muara, Kota Kinabalu, Sandakan, Tawau"
"1042","18",2022,"Hosei Ocean",21,"Kuching, Manis, Bintulu","Kuching, Manis, Bintulu"
"1043","17",2021,"Hosei Ocean",21,"Kuching, Manis, Bintulu, Tarakan","Kuching, Manis, Bintulu, Tarakan"
"1044","6",2010,NA,22,"Kuching, Miri, Bintulu, Tanjung Manis","Kuching, Miri, Bintulu, Tanjung Manis"
"1045","10",2014,NA,21,"Kuching, Tanjong Manis, Bintulu, Sandakan, Tawau","Kuching, Tanjong Manis, Bintulu, Sandakan, Tawau"
"1046","13",2017,"Marine Emerald",21,"Kuching, Tanjung Manis, Bintulu, Sandakan, Tarakan, Tawau","Kuching, Tanjung Manis, Bintulu, Sandakan, Tarakan, Tawau"
"1047","15",2019,"Hosei Ocean",21,"Kuching, Tanjung Manis, Bintulu, Sandakan, Tawau","Kuching, Tanjung Manis, Bintulu, Sandakan, Tawau"
"1048","4",2008,NA,40,"Kucing","Kucing"
"1049","1",2005,"SUNNY SPRUCE",23,"Kumamoto","Kumamoto(Tue)"
"1050","3",2007,"CSCL QINGDAO",30,"Kumport","(4)Kumport(Sun/Mon)[29]"
"1051","3",2007,"KANTAMA",29,"Kunsan","Kunsan(Mon)"
"1052","1",2005,"Chun Ju",22,"Kure","%Kure(Wed)"
"1053","1",2005,NA,23,"Kushiro","Kushiro(Sat)[-2]"
"1054","6",2010,"Del Sol",29,"Kushiro, Moji, Nagoya and other Japanese ports","Kushiro, Moji, Nagoya and other Japanese ports"
"1055","1",2005,"Tampere",27,"Kuwait","Kuwait"
"1056","15",2019,"Kyowa Falcon",32,"Kwajalein","Kwajalein"
"1057","6",2010,"ARUNI RICKMERS",23,"Kwangyanag","Kwangyanag(Sun)[2]"
"1058","1",2005,"CMA CGM AEGEAN",21,"Kwangyang","Kwangyang"
"1059","11",2015,NA,24,"Kwangyang, Busan","Kwangyang, Busan"
"1060","10",2014,NA,28,"Kwangyang, Keelung, Hongkong","(3)Kwangyang, (4)Keelung, (5)Hongkong"
"1061","15",2019,NA,22,"Kwangyang, Pyongtaek","Kwangyang, Pyongtaek"
"1062","6",2010,"HANJIN NINGBO",23,"Kwangyang3","Kwangyang(Thu)[(3]"
"1063","7",2011,"HANJIN NINGBO",24,"Kwangyang4","Kwangyang(Thu)[(4]"
"1064","17",2021,NA,29,"Kyushu","[Kyushu]"
"1065","14",2018,NA,27,"Kyushu Imari, Yatsushiro, Kumamoto, Nagasaki, Iyomishima, Moji, Shibushi, Hososhima","[Kyushu] Imari, Yatsushiro, Kumamoto, Nagasaki, Iyomishima, Moji, Shibushi, Hososhima"
"1066","15",2019,NA,27,"Kyushu Moji, Hakata, Imari, Yatsushiro, Kumamoto, Nagasaki, Iyomishima, Shibushi, Hososhima","[Kyushu] Moji, Hakata, Imari, Yatsushiro, Kumamoto, Nagasaki, Iyomishima, Shibushi, Hososhima"
"1067","4",2008,"CSAV COLOMBIA",30,"La Guaira","La Guaira"
"1068","11",2015,"A VESSEL",35,"La Havre","La Havre(Mon)"
"1069","1",2005,NA,21,"La Spezia","(1)La Spezia"
"1070","1",2005,"KOTA BUANA",24,"Labuan","Labuan(Wed/Thu)"
"1071","1",2005,NA,22,"Lae","(1)Lae"
"1072","4",2008,NA,21,"Lae, Madang, Alotau, Port Moresby, Oro Bay, Kavieng, Kimbe, Rabaul, Noro, Honiara, Santo, Vila","Lae, Madang, Alotau, Port Moresby, Oro Bay, Kavieng, Kimbe, Rabaul, Noro, Honiara, Santo, Vila"
"1073","8",2012,NA,22,"Lae, Madang, Port Moresby, Rabaul","Lae, Madang, Port Moresby, Rabaul"
"1074","14",2018,NA,22,"Lae, Rabaul, Port Moresby, Honiara, Vila, Noumea","Lae, Rabaul, Port Moresby, (1)Honiara, Vila, (2)Noumea"
"1075","11",2015,NA,22,"Lae, Tauranga","(1)Lae, (2)Tauranga"
"1076","1",2005,"APL JAPAN",21,"Laem Chabang","Laem Chabang(Sun/Mon)[0]"
"1077","16",2020,"APL DUBLIN",35,"Laem Chabang ","Laem Chabang (Thu/Sat)"
"1078","15",2019,"A VESSEL",33,"Laem Chabang Alternate call marked with ports  and ","Laem Chabang(Thu/Fri)   Alternate call marked with ports * and **"
"1079","12",2016,NA,22,"Laem Chabang, Bangkok","Laem Chabang, Bangkok"
"1080","9",2013,NA,24,"Laem Chabang, Manila","Laem Chabang, Manila"
"1081","12",2016,NA,22,"Laem Chabang, Singapore, Jakarta, Port Kelang","Laem Chabang, Singapore, Jakarta, Port Kelang"
"1082","8",2012,NA,22,"Laem Chabang, Singapore, Jakarta, Port Kelang Monthly calling","Laem Chabang, Singapore, Jakarta, *Port Kelang   *Monthly calling"
"1083","6",2010,"NYK ANTARES",21,"Laem Chabang11","Laem Chabang(Mon/Wed)[-11]"
"1084","8",2012,"NYK APHRODITE",22,"Laem Chabang12","Laem Chabang(Sun/Mon)[-12]"
"1085","7",2011,"NYK APHRODITE",22,"Laem Chabang13","Laem Chabang(Sun/Mon)[-13]"
"1086","7",2011,"CSCL NAPOLI",25,"Laem Chanbang","Laem Chanbang(Mon/Tue)[9]"
"1087","1",2005,NA,25,"Lagos","Lagos"
"1088","9",2013,NA,22,"Lagos, Cotonou, Tema, Dakar","Lagos, Cotonou, Tema, Dakar"
"1089","1",2005,"HANSA BERGEN",26,"LagosApapa","Lagos/Apapa(Mon/Fri)"
"1090","14",2018,"Rickmers Antwerp",29,"Lake Charles","%Lake Charles"
"1091","2",2006,NA,22,"Larnaca, Limassol, Barcelona","Larnaca, Limassol, Barcelona"
"1092","1",2005,NA,22,"Larnaca, Limassol, Barcelona, Southampton, Newcastle, Amsterdam, Bremerhaven, Dublin","Larnaca, Limassol, Barcelona, Southampton, Newcastle, Amsterdam, Bremerhaven, Dublin(via Barcelona)"
