"","alliance_group_name"
"136","CCNI(TMA)/Hamburg Sud(Seven Seas)"
"137","CCNI/CMA CGM/CSAV(Wallem)/CSCL/Hamburg Sud(Seven Seas)/Hanjin/Hyundai/MSC"
"138","CCNI/CMA CGM/CSCL/Hamburg Sud(Seven Seas)/Hanjin/Hyundai/MSC/[Norasia/CSAV](Wallem)"
"139","CCNI/CSCL/Hamburg Sud(Seven Seas)/Hanjin/Hyundai"
"140","CCNI/Hamburg Sud(Seven Seas)"
"141","CCNI/Hamburg Sud(Seven Seas)/MSC"
"142","CCNI/Hanjin/Hapag/Wan Hai/Zim"
"143","CCNI/Hanjin/Zim"
"144","Cheng Lie(Chuwa)"
"145","Cheng Lie(Chuwa)/CMA-CGM(Ben)/Yang Ming"
"146","Cheng Lie(Chuwa)/SEACON/Wan Hai"
"147","Cheng Lie(Chuwa)/T.S. Lines(Ben)"
"148","Cheng Lie(Chuwa)/T.S. Lines(Ben)/Yang Ming"
"149","Cheng Lie(Chuwa)/Yang Ming"
"150","Cheng Lie(Chuwa)/Yang MIng"
"151","Cheng Lie(CMA CGM)"
"152","Cheng Lie(CMA CGM)/COSCO"
"153","Cheng Lie(CMA CGM)/COSCO/Yang Ming"
"154","Cheng Lie(CMA CGM)/Heung-A"
"155","Cheng Lie(CMA CGM)/Heung-A/KMTC"
"156","Cheng Lie(CMA CGM)/Heung-A/STX Oan Ocean"
"157","Cheng Lie(CMA CGM)/Maersk"
"158","Cheng Lie(CMA CGM)/OOCL"
"159","Cheng Lie(CMA CGM)/STX Pan Ocean(Sigma)/Yang Ming"
"160","Cheng Lie(CMA CGM)/STX Pan Ocean/Yang Ming"
"161","Cheng Lie(CMA CGM)/T.S. Lines"
"162","Cheng Lie(CMA CGM)/T.S. Lines(Ben)"
"163","Cheng Lie(CMA CGM)/T.S. Lines(Ben)/Yang Ming"
"164","Cheng Lie(CMA CGM)/Yang Ming"
"165","Cheng Lie/COSCO/KMTC/T.S. Lines"
"166","Cheng Lie/COSCO/PIL"
"167","Cheng Lie/Gold Star/T.S. Lines/Yang Ming"
"168","Cheng Lie/Hyundai"
"169","Cheng Lie/Hyundai/Pan Ocean"
"170","Cheng Lie/RCL"
"171","Cheng Lie/Wan Hai"
"172","Cheng Lie/Yang Ming"
"173","China Express Line"
"174","China Shipping"
"175","China Shipping/CMA-CGM"
"176","China Shipping/CMA-CGM(Ben)"
"177","China Shipping/CMA-CGM(Ben)/Maruba(NMC)"
"178","China Shipping/Norasia/Zim"
"179","China Shipping/Zim"
"180","China Shipping/Zim(SSJ)"
"181","China United Lines"
"182","CHINJIF(Japan-China International Ferry)"
"183","CHINJIF(Japan China International Ferry)"
"184","Chongqing Marine(General)"
"185","CK Line"
"186","CK Line(CKM)"
"187","CK Line(CKM)/Dong Young(Nam Sung)"
"188","CK Line(CKM)/Dongjin"
"189","CK Line(CKM)/Dongjin/Nam Sung/PanCon(Asia Cargo)/Pan Ocean"
"190","CK Line(CKM)/Heung-A/Sinokor"
"191","CK Line(CKM)/HMM"
"192","CK Line(CKM)/Hyundai"
"193","CK Line(CKM)/KMTC"
"194","CK Line(CKM)/KMTC/Nam Sung"
"195","CK Line(CKM)/KMTC/Nam Sung/PanCon(Asia Cargo)"
"196","CK Line(CKM)/KMTC/Sinokor"
"197","CK Line(CKM)/Nam Sung"
"198","CK Line(CKM)/Nam Sung/PanCon"
"199","CK Line(CKM)/Nam Sung/PanCon(Asia Cargo)"
"200","CK Line(CKM)/Nam Sung/Sinokor"
"201","CK Line(CKM)/Sinokor"
"202","CK Line(CKM)/STX Pan Ocean"
"203","CK Line(CKM)/STX Pan Ocean(Sigma)"
"204","CK Line(CKM)/Tai Young(Daiei Shipping)"
"205","CK Line/Dongjin/Nam Sung/PanCon/Pan Ocean"
"206","CK Line/Heung-A(San Ei)/Sinokor"
"207","CK Line/Hyundai"
"208","CK Line/KMTC/Sinokor"
"209","CLAN(NMC)/Maruba(NMC)"
"210","CMA-CGM"
"211","CMA-CGM(Ben)"
"212","CMA-CGM(Ben)/China Shipping"
