"","alliance_group_name"
"565","GCS(Sankyu Shipping)/RCL(Mitsui-Soko)"
"566","Geneq"
"567","GENEQ"
"568","Geneq/Goto(Zuiyo Kaiun)"
"569","Geneq/Onto(Mitsui-Soko)"
"570","Geneq/TSK"
"571","Gesuri(Toko)"
"572","Gold Star"
"573","Gold Star(SSJ)"
"574","Gold Star(Zim)"
"575","Gold Star(Zim)/Hapag"
"576","Gold Star(Zim)/Hapag/ONE"
"577","Gold Star(Zim)/KMTC/T.S. Lines/Yang Ming"
"578","Gold Star(Zim)/Maersk"
"579","Gold Star(Zim)/OOCL/Yang Ming"
"580","Gold Star/Golden Sea Shipping"
"581","Gold Star/Golden Sea Shipping/OOCL"
"582","Gold Star/Hamburg Sud(Seven Seas)/OOCL/RCL"
"583","Gold Star/HASCO"
"584","Gold Star/HASCO(SSA)"
"585","Gold Star/Hyundai"
"586","Gold Star/Hyundai/T.S. Lines"
"587","Gold Star/JJSCO"
"588","Gold Star/KMTC"
"589","Gold Star/KMTC(CMC)/Sinokor"
"590","Gold Star/KMTC/RCL/SM Line/T.S. Lines"
"591","Gold Star/KMTC/Sinokor"
"592","Gold Star/KMTC/SITC Lines"
"593","Gold Star/MOL/PIL"
"594","Gold Star/PDZ"
"595","Gold Star/PIL"
"596","Gold Star/PIL/PONL"
"597","Gold Star/SITC Lines"
"598","Gold Star/SYMS"
"599","Gold Star/T.S. Lines"
"600","Gold Star/T.S. Lines(Ben)"
"601","Gold Star/Yang Ming"
"602","Goto(Zuiyo Kaiun)"
"603","Goto(Zuiyo)"
"604","GPL(Mikasa Maritime)"
"605","Great Western"
"606","Hainan/T.S. Lines"
"607","Hainan/T.S. Lines(Ben)"
"608","Hamburg Sud(Seven Seas)"
"609","Hamburg Sud(Seven Seas) /Hapag/Hyundai/SYMS"
"610","Hamburg Sud(Seven Seas) /Hapag/Tasman(Hesco)"
"611","Hamburg Sud(Seven Seas)/Hapag/Hyundai/SYMS"
"612","Hamburg Sud(Seven Seas)/Hapag/Tasman(Hesco)"
"613","Hamburg Sud(Seven Seas)/Interasia/Wan Hai"
"614","Hamburg Sud(Seven Seas)/Maersk"
"615","Hamburg Sud(Seven Seas)/Maersk/MOL/MSC"
"616","Hamburg Sud(Seven Seas)/Maersk/MSC"
"617","Hamburg Sud(Seven Seas)/Maersk/MSC/ONE"
"618","Hamburg Sud(Seven Seas)/Maersk/NYK"
"619","Hamburg Sud(Seven Seas)/Maersk/Safmarine"
"620","Hamburg Sud(Seven Seas)/NYK"
"621","Hamburg Sud(Seven Seas)/OOCL/RCL"
"622","Hamburg Sud(Seven Seas)/OOCL/RCL(Mitsui-Soko)"
"623","Hamburg Sud(Seven Seas)/SEACON"
"624","Hamburg Sud(Seven Ses)/RCL(Mitsui-Soko)/SEACON/Wan Hai"
"625","Hamburg Sud/Hapag"
"626","Hamburg Sud/Hapag/[Norasia/CSAV]"
"627","Hanjin"
"628","Hanjin/Hapag/NYK/OOCL"
"629","Hanjin/Heung-A"
"630","Hanjin/Heung-A(San Ei)"
"631","Hanjin/Heung-A(San Ei)/Sinotrans/STX Pan Ocean(Sigma)"
"632","Hanjin/Heung-A/Sinokor/STX Pan Ocean"
"633","Hanjin/Hyundai/UASC(Summit)/Yang Ming"
"634","Hanjin/KL"
"635","Hanjin/KL/OOCL/RCL(Mitsui-Soko)"
"636","Hanjin/KL/PIL"
"637","Hanjin/KL/PIL(Wallem)/RCL/SCI"
"638","Hanjin/KL/PIL(Wallem)/SCI"
"639","Hanjin/KL/PIL/SCI"
"640","Hanjin/KL/RCL(Mitsui-Soko)"
"641","Hanjin/KL/Senator/Yang Ming"
"642","Hanjin/KL/UASC/Yang Ming"
"643","Hanjin/KL/Yang Ming"
"644","Hanjin/KMTC"
"645","Hanjin/KMTC(CMC)/STX Pan Ocean(Sigma)"
"646","Hanjin/KMTC/STX Pan Ocean"
"647","Hanjin/KMTC/T.S. Lines"
"648","Hanjin/MOL/Senator/UASC"
"649","Hanjin/MOL/Senator/UASC(Summit)"
"650","Hanjin/MOL/UASC"
"651","Hanjin/NYK"
"652","Hanjin/NYK/OOCL"
"653","Hanjin/RCL"
"654","Hanjin/Samudera"
"655","Hanjin/Senator"
"656","Hanjin/Senator/UASC"
"657","Hanjin/Senator/UASC(Summit)"
"658","Hanjin/Simatech/T.S. Lines"
"659","Hanjin/Simatech/T.S. Lines/Yang Ming"
"660","Hanjin/Sinokor/STX Pan Ocean(Sigma)"
"661","Hanjin/Sinotrans"
"662","Hanjin/Sinotrans/STX Pan Ocean(Sigma)"
"663","Hanjin/Sinotrans/STX Pan Ocean(Sigma)/Yang Ming"
"664","Hanjin/Sinotrans/STX Pan Ocean/Yang Ming"
"665","Hanjin/Sinotrans/T.S. Lines/Yang Ming"
"666","Hanjin/STX Pan Ocean"
"667","Hanjin/STX Pan Ocean(Sigma)"
"668","Hanjin/STX Pan Ocean(Sigma)/Sinokor"
"669","Hanjin/UASC"
"670","Hanjin/UASC(Summit)"
"671","Hanjin/Wan Hai"
"672","Hanjin/Yang Ming"
"673","Hanjin/Yang MIng"
"674","Hapag"
"675","Hapag/HMM/MSC/ONE"
"676","Hapag/HMM/ONE/Yang Ming"
"677","Hapag/Hyundai/KL/Wan Hai"
"678","Hapag/Hyundai/MOL"
"679","Hapag/Hyundai/MOL/NYK/OOCL"
"680","Hapag/Hyundai/MSC/ONE"
"681","Hapag/Hyundai/NYK/OOCL"
"682","Hapag/Hyundai/NYK/OOCL/Zim"
"683","Hapag/Hyundai/RCL(Mitsui-Soko)/TSK"
"684","Hapag/KL/MOL/NYK/OOCL"
"685","Hapag/KL/MOL/NYK/Yang Ming"
"686","Hapag/KL/NYK"
"687","Hapag/MISC/NYK/OOCL"
"688","Hapag/MISC/NYK/OOCL/PONL"
"689","Hapag/MOL"
"690","Hapag/MOL/NYK"
"691","Hapag/MOL/NYK/Yang Ming"
"692","Hapag/MOL/Zim"
"693","Hapag/MSC/ONE"
"694","Hapag/Norasia"
"695","Hapag/NYK"
"696","Hapag/NYK/OOCL"
"697","Hapag/NYK/OOCL/PONL"
"698","Hapag/NYK/OOCL/Zim"
"699","Hapag/NYK/Wan Hai/X-press Feeders"
"700","Hapag/NYK/Wan Hai/X-press Feeders/Yang Ming"
"701","Hapag/NYK/X-press Feeders/Yang Ming"
"702","Hapag/ONE"
"703","Hapag/ONE/OOCL"
"704","Hapag/ONE/Wan Hai/Yang Ming"
"705","Hapag/ONE/Yang Ming"
"706","Hapag/OOCL"
"707","Hapag/OOCL/PONL"
"708","Hapag/RCL"
"709","Hapag/RCL(Mitsui-Soko)"
"710","Hapag/RCL/TSK"
"711","Hapag/Samudera/TSK"
"712","Hapag/Wan Hai"
"713","Hapag/Wan Hai/Yang Ming"
"714","HASCO"
"715","HASCO(SSA)"
"716","HASCO/JJSCO(Jin Jiang Shipping)"
"717","HASCO/SITC"
"718","HDASCO(Atlas)"
"719","HDS Lines(Atlas Shipping)"
"720","HDS Lines(Ben)"
"721","Hede(Nittsu)"
"722","Heung-A"
"723","Heung-A(San Ei)"
"724","Heung-A(San Ei)/KMTC"
"725","Heung-A(San Ei)/KMTC(CMC)"
"726","Heung-A(San Ei)/KMTC/Sinokor"
"727","Heung-A(San Ei)/KMTC/T.S. Lines"
"728","Heung-A(San Ei)/Sinokor"
"729","Heung-A(San Ei)/Sinokor/T.S. Lines"
"730","Heung-A(San Ei)/Sinokor/T.S. Lines(Ben)"
"731","Heung-A(San Ei)/STX Pan Ocean"
"732","Heung-A(San Ei)/STX Pan Ocean(Sigma)"
"733","Heung-A/Hyundai/KMTC/Sinokor"
"734","Heung-A/KMTC"
"735","Heung-A/KMTC/Sinokor"
"736","Heung-A/KMTC/T.S. Lines"
"737","Heung-A/Nam Sung"
"738","Heung-A/Sinokor"
"739","Heung-A/STX Pan Ocean"
"740","HEUNG A(Sinokor)"
"741","HEUNG A(Sinokor)/KMTC"
"742","HEUNG A(Sinokor)/KMTC/Sinokor"
"743","HEUNG A(Sinokor)/Nam Sung"
"744","HEUNG A(Sinokor)/Sinokor"
"745","HMM"
"746","HMM/KMTC"
"747","HMM/KMTC/Sinokor"
"748","HMM/KMTC/T.S. Lines"
"749","Hoegh Autoliners"
"750","HUAL"
"751","Hub Line"
"752","Hub Line(San Ei)"
"753","Hyoki(ESL Japan)"
"754","Hyundai"
"755","Hyundai/KL/NYK/PIL"
"756","Hyundai/KL/NYK/PIL(Wallem)"
"757","Hyundai/KMTC"
"758","Hyundai/KMTC/Sinokor"
"759","Hyundai/KMTC/T.S. Lines"
"760","Hyundai/MCC Transport"
"761","Hyundai/MOL"
"762","Hyundai/NYK"
"763","Hyundai/NYK/SPIC(YCS)"
"764","Hyundai/RCL(Mitsui-Soko)/STX Pan Ocean(Sigma)"
"765","Hyundai/Simatech/T.S. Lines"
"766","Hyundai/Sinokor"
"767","Hyundai/SPIC(United Maritime)/TSK"
"768","Hyundai/SPIC(United)/TSK"
"769","Hyundai/SPIC(YCS)/TSK"
"770","Hyundai/T.S. Lines"
"771","Hyundai/T.S. Lines(Ben)"
"772","Hyundai/TSK"
"773","I-Line"
"774","IAL/Wan Hai"
"775","Iino Koun"
"776","Interasia"
"777","Interasia/MOL/PIL/Wan Hai"
"778","Interasia/OOCL/Wan Hai"
"779","Interasia/Sealand Asia/Wan Hai"
"780","Interasia/Wan Hai"
"781","Interasia/Wan Hai/Yang Ming"
"782","Intermarine(Nissin)"
"783","IRISL(Ben)"
"784","ITS"
"785","ITS/Zim(SSJ)"
"786","Izumi"
"787","Japan Nakhodka Line"
"788","Ji Zhou Shipping(Koyo)"
"789","JJSCO(Jin Jiang Shipping)"
"790","JJSCO(Jin Jiang Shipping)/Sinotrans/SITC"
"791","JJSCO(Jin Jiang Shipping)/TCLC(Sankyu)"
"792","Jutha(Ben)"
"793","Kambara Kisen"
"794","Kampu Ferry(Kanko Kisen)"
"795","Karana(ECL)"
"796","Kestrel Liner Agencies [Tropical] (Ben)"
"797","KL"
"798","KL Kinkai"
"799","KL/MISC/PIL"
"800","KL/MISC/PIL/SCI"
"801","KL/MISC/SCI/Yang Ming/Zim"
"802","KL/MOL"
"803","KL/MOL/NYK"
"804","KL/MOL/NYK/COSCO"
"805","KL/MOL/NYK/OOCL"
"806","KL/MOL/NYK/PONL/COSCO"
"807","KL/MOL/NYK/Yang Ming"
"808","KL/MOL/PIL(Wallem)"
"809","KL/MOL/PIL(Wallem)/Wan Hai"
"810","KL/MOL/PONL"
"811","KL/NYK"
"812","KL/PIL"
"813","KL/PIL(Mariana)/SCI/Wan Hai"
"814","KL/PIL(Wallem)/SCI/Wan Hai"
"815","KL/PIL/SCI"
"816","KL/PIL/SCI/Wan Hai"
"817","KL/PIL/Wan Hai"
"818","KL/RCL(Mitsui-Soko)"
"819","KL/SITC"
"820","KL/SITC Lines(SITC Japan)"
"821","KL/TSK"
"822","KL/Wan Hai"
"823","KL/Yang Ming"
"824","KMTC"
"825","KMTC(CMC)"
"826","KMTC(CMC)/Sinotrans"
"827","KMTC(CMC)/STX Pan Ocean(Sigma)"
"828","KMTC(CMC)/T.S. Lines"
"829","KMTC/Cheng Lie(Chuwa)"
"830","KMTC/Heung-A(San Ei)/Nam Sung/Sinokor"
"831","KMTC/Heung-A/Nam Sung/Sinokor"
"832","KMTC/Nam Sung"
"833","KMTC/Nam Sung/PanCon(Asia Cargo)"
"834","KMTC/Sinokor"
"835","KMTC/Sinokor/T.S. Lines"
"836","KMTC/Sinotrans"
"837","KMTC/SITC"
"838","KMTC/STX Pan Ocean"
"839","KMTC/T.S. Lines"
"840","KMTC/T.S. Lines/Yang Ming"
"841","KMTC/Yang Ming"
"842","Konoike"
"843","Konoike Line"
"844","KSK Lines"
"845","Kyowa"
"846","Kyowa(/MOL/NYK)"
"847","Kyowa/MOL/NYK"
"848","Kyowa/MOL/NYK/CNCO"
"849","Kyowa/NYK"
"850","Kyowa/NYK Bulk"
"851","LauritzenCool"
"852","LT/CMA-CGM"
"853","LT/Zim"
"854","Lufeng Shipping(Azuma Kaiun)"
"855","Lykes"
"856","Lykes/SYMS"
"857","Lykes/TMM"
"858","Maersk"
"859","Maersk Sealand"
"860","Maersk Sealand/MSC"
"861","Maersk Sealand/MSC/Safmarine"
"862","Maersk Sealand/Safmarine"
"863","Maersk/MISC"
"864","Maersk/MOL/MSC"
"865","Maersk/MSC"
"866","Maersk/MSC/ONE"
"867","Maersk/MSC/Zim"
"868","Maersk/Safmarine"
"869","Magistal Container Line(Sanyo Maritime)"
"870","Magistral Container Line(Sanyo Maritime)"
"871","Malasa Shipping(Nissin)"
"872","Mariana"
"873","Mariana/PIL"
"874","Mariana/PIL(Mariana)"
"875","Maruba(NMC)"
"876","Maruni Line"
"877","MCC Transport"
"878","MCC Transport/NYK"
"879","MCC Transport/OOCL"
"880","MCC Transport/RCL"
"881","MCC Transport/T.S. Lines/Yang Ming"
"882","MFS"
"883","MFS(Nissin)"
"884","Minsheng Shipping(Mitsui-Soko)"
"885","MISC"
"886","MISC/MOL/NYK/OOCL/PIL"
"887","MISC/MOL/OOCL/PIL"
"888","MISC/OOCL/Simatech"
"889","MISC/PIL"
"890","MISC/Simatech"
"891","MO Kinkai"
"892","MOL"
"893","MOL Drybulk"
"894","MOL/NYK/OOCL/PIL"
"895","MOL/NYK/OOCL/PIL(Wallem)"
"896","MOL/NYK/RCL/X-press Feeders"
"897","MOL/OOCL/PIL"
"898","MOL/OOCL/PIL(Wallem)"
"899","MOL/OOCL/PIL/Yang Ming"
"900","MOL/OOCL/Samudera"
"901","MOL/PIL"
"902","MOL/PIL(Wallem)"
"903","MOL/PONL"
"904","MOL/RCL"
"905","MOL/RCL(Mitsui-Soko)"
"906","MOL/RCL(Mitsui-Soko)/SITC Lines(SITC Japan)"
"907","MOL/Samudera"
"908","MOL/SEACON"
"909","MOL/SITC Lines(SITC Japan)"
"910","MOL/Wan Hai"
"911","MSC"
"912","MSC/[Norasia/CSAV]"
"913","MSC/ONE"
"914","MSC/Zim"
"915","Nagato/Nagato(Naigai)"
"916","Nam Sung"
"917","Nam Sung(Navix Namsung)"
"918","Nam Sung/Pan Ocean/Sinokor"
"919","Nam Sung/Sinokor"
"920","Nam Sung/Sinokor/STX Pan Ocean"
"921","New Golden Sea Shipping/Samudera/X-press Feeders"
"922","New Guinea Pacific Line(Senwa)"
"923","Nile Dutch"
"924","NileDutch"
"925","NileDutch(Pegasus)"
"926","NileDutch(Pegasus)/NYK"
"927","NileDutch/PIL(Mariana)"
"928","NileDutch/PIL(Wallem)"
"929","Ningbo Ocean Shipping(Nitto)"
"930","Ningbo Ocean(Nitto)"
"931","Norasia(Wallem)"
"932","Norasia/Wan Hai"
"933","NS United"
"934","NYK"
"935","NYK/OOCL"
"936","NYK/OOCL/SEACON"
"937","NYK/RCL"
"938","NYK/RCL(Mitsui-Soko)"
"939","NYK/RCL(Mitsui-Soko)/Samudera"
"940","NYK/Samudera"
"941","NYK/SEACON"
"942","NYK/SEACON/T.S. Lines"
"943","NYK/X-press Feeders"
"944","ONE"
"945","ONE/MSC"
"946","ONE/OOCL/Yang Ming"
"947","ONE/RCL"
"948","ONE/RCL/X-press Feeders"
"949","ONE/Samudera"
"950","ONE/SEACON/X-press Feeders"
"951","ONE/X-press Feeders"
"952","ONE/Yang Ming"
"953","Onto Shipping(Mitsui-Soko)"
"954","Onto(Mitsui-Soko)"
"955","Onto(Mitsui-Soko)/TMSC(Tenjin)"
"956","OOCL"
"957","OOCL/PIL"
"958","OOCL/RCL"
"959","OOCL/RCL(Mitsui-Soko)"
"960","OOCL/RCL/Yang Ming"
"961","OOCL/SEACON"
"962","OOCL/SEACON/XCL"
"963","OOCL/TSK"
"964","OOCL/Wan Hai"
"965","OOCL/Yang Ming"
"966","OOCL/Zim"
"967","Orient Ferry(Kanko Kisen)"
"968","Pan Continental(MOL Japan)"
"969","Pan Ocean"
"970","Pan World"
"971","PanCon(Asia Cargo)"
"972","PanCon(MOL Japan)"
"973","Panstar(Sanstar)"
"974","PIL"
"975","PIL(Mariana)"
"976","PIL(Mariana)/Wan Hai"
"977","PIL(Mariana)/Yang Ming"
"978","PIL(Wallem)"
"979","PIL(Wallem)/Wan Hai"
"980","PIL/KL"
"981","PIL/MOL/PONL"
"982","PIL/Wan Hai"
"983","PIL/Wan Hai/Yang Ming"
"984","PIL/Yang Ming"
"985","PNSC(Global Maritime)"
"986","PNSC(NMC)"
"987","PONL"
"988","PONL/TSK"
"989","PRO Line(Nissin)"
"990","Project Asia Service(HESCO)"
"991","Puhai"
"992","Puhai(CSCL)"
"993","Pukwan Ferry(Sankyu Inc)"
"994","Qingdao Marine(Sumitomo)"
"995","RCL"
"996","RCL(Mitsui-Soko)"
"997","RCL(Mitsui-Soko)/Samudera/TSK"
"998","RCL(Mitsui-Soko)/SEACON/Wan Hai"
"999","RCL(Mitsui-Soko)/Simatech"
"1000","RCL(Mitsui-Soko)/STX Pan Ocean"
"1001","RCL(Mitsui-Soko)/TSK"
"1002","RCL/Samudera/TSK"
"1003","RCL/SEACON/Wan Hai"
"1004","RCL/TSK"
"1005","RCL/Wan Hai"
"1006","RCL/Yang Ming"
"1007","Rickmers-Line"
"1008","Rickmers-Linie"
"1009","Rickmers-Linie(Japan Heavy Lift)"
"1010","Rizhao Haitong Ferry(Senwa Maritime)"
"1011","RKK Line/MOL"
"1012","RO RO Line(Ben)"
"1013","Samudera"
"1014","Samudera/STX Pan Ocean(Sigma)/T.S. Lines"
"1015","Sanstar"
"1016","Seaboard(Aall)"
"1017","Seaboard(Wil Aall)"
"1018","Seaboard(Wil Ships)"
"1019","SEACON"
"1020","SEACON/Wan Hai"
"1021","SEACON/X-press Feeders"
"1022","Sealand Asia"
"1023","Sealand Asia/T.S. Lines/Yang Ming"
"1024","SEALS"
"1025","Senator"
"1026","SEVEN SEALS"
"1027","Shanghai Ferry"
"1028","Shanghai Hai Hua Shipping(Seven Seas Agencies)"
"1029","Shanghai Hai Hua Shipping(Seven Seas)"
"1030","Shanghai Jin Jiang Shipping(Jin Jiang Shipping)"
"1031","Shanghai Shimonoseki Ferry(Kanko Kisen)"
"1032","Shanghai Shimonoseki Ferry(Kanko Kisen)/Orient Ferry(Kanko Kisen)"
"1033","Shanghai Super Express"
"1034","Shinwa"
"1035","Simatech"
"1036","Sinokor"
"1037","Sinokor(Seihon Shipping)"
"1038","Sinokor/Heung-A"
"1039","Sinotrans"
"1040","Sinotrans Container Lines(Sinotrans Japan)"
"1041","Sinotrans Container Lines(Sinotrans Japan)/SITC"
"1042","Sinotrans Container Lines(Sinotrans Japan)/SITC Lines(SITC Japan)"
"1043","Sinotrans Container Lines(Sinotrans Japan)/Winland Shipping"
"1044","Sinotrans Jiangsu Company(Sinotrans Japan)"
"1045","Sinotrans/SITC"
"1046","Sinotrans/Wan Hai"
"1047","Sinotrans/Winland"
"1048","Sinotrans/Yang Ming"
"1049","SITC"
"1050","SITC Lines(SITC Japan)"
"1051","SJSCO(Jin Jiang Shipping)"
"1052","SM Line"
"1053","SML Line"
"1054","Spliethoff's(TDS Shipping)"
"1055","Spliethoff's(Wallem)"
"1056","Spliethoff’s(TDS Shipping)"
"1057","STX Pan Ocean"
"1058","STX Pan Ocean(Senwa)"
"1059","STX Pan Ocean(Sigma)"
"1060","STX Pan Ocean(Sigma)/T.S. Lines(Ben)"
"1061","STX Pan Ocean/T.S. Lines(Ben)"
"1062","Suzhou Shimonoseki Ferry(Kanko Kisen)"
"1063","Swire Shipping Line(Senwa)"
"1064","Swire(Ben)"
"1065","Swire(Hesco)"
"1066","SYMS"
"1067","SYMS(Sankyu Shipping)"
"1068","SYMS/Yang Ming"
"1069","T.J.Marine(Toko Kaiun)"
"1070","T.S. Lines"
"1071","T.S. Lines(Ben)"
"1072","T.S. Lines(Ben)/Yang Ming"
"1073","T.S. Lines/Yang Ming"
"1074","Tai Young(Daiei Shipping)"
"1075","Tasman Orient(Hesco)"
"1076","Tasman Orient(HESCO)"
"1077","TBS Pacific"
"1078","TBS Pacific(Heisei)"
"1079","TCC"
"1080","TCLC(Sankyu)"
"1081","Tianjin Marine Shipping Co. (Tenjin Shipping)"
"1082","TIFECO(China Express Line)"
"1083","TMN(ECL)"
"1084","TMN(Ocean Traffic)"
"1085","TMN(YCS)"
"1086","TMSC(Tenjin)"
"1087","Toko"
"1088","TSK"
"1089","Turkon Container Line(Nissin)"
"1090","UASC"
"1091","UASC(Summit)"
"1092","US Lines"
"1093","Wallenius Wilhelmsen"
"1094","Wan Hai"
"1095","Wan Hai/Evergreen"
"1096","Wan Hai/Yang Ming"
"1097","WDIS(Nissin)"
"1098","Westwind(Shuwa)"
"1099","Westwood(Senwa Maritime)"
"1100","Westwood(Wallem)"
"1101","Winland"
"1102","Winland Shipping"
"1103","X-press Feeders"
"1104","Yang Ming"
"1105","Yanghai Shipping(Aoi)"
"1106","ZEAMARINE"
"1107","Zim"
"1108","Zim(SSJ)"
"1109","Zuiyo"
